127.0.0.1 - - [14/Apr/2018:15:30:03 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:30:14 +0800] "GET /10RR/userLogin?name=123 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:30:14 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:32:14 +0800] "GET /10RR/userLogin?name=%E6%98%8E%E6%97%A5%E9%A6%99 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:32:23 +0800] "GET /10RR/userLogin?name=%E6%98%8E%E6%97%A5%E9%A6%99 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:32:29 +0800] "GET /10RR/userLogin?name=%E6%98%8E%E6%97%A5%E9%A6%99 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:35:31 +0800] "GET /10RR/userLogin?name=%E6%98%8E%E6%97%A5%E9%A6%99 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:35:31 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:36:23 +0800] "GET /10RR/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:36:23 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:36:23 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:36:23 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:36:23 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:36:23 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:37:00 +0800] "GET /10RR/userLogin HTTP/1.1" 500 1425
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:37:00 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:39:56 +0800] "GET /10RR/login.html HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:39:56 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:39:56 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:39:56 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:39:56 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
